last_name|cited_name|artwork_genre|title|artist|creation_date|nationality|index|museum
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Washington Senior High School, Washington, PA|Lekawa Associates Registered Architects|1987|<blank>|178|Carnegie Museum of Art
Hoone|Hoone, Joseph W.|drawings and watercolors|Bath house for Curwensville State Park, Curwensville, PA|Joseph W. Hoone|1968|<blank>|179|Carnegie Museum of Art
Hoone|Hoone, Joseph W.|drawings and watercolors|Admissions Building, Torrance State Hospital, Torrance, Pennsylvania|Joseph W. Hoone|1966|<blank>|180|Carnegie Museum of Art
Sorber|Sorber & Hoone-Architects|drawings and watercolors|Sunrise Estates Elementary School, Penn Township, PA|Sorber & Hoone-Architects|1958|<blank>|181|Carnegie Museum of Art
Hoone|Hoone, Joseph W.|drawings and watercolors|Bath house and other facilities, Yellow Creek State Park, Indiana County, Indiana, PA|Joseph W. Hoone|1969|<blank>|182|Carnegie Museum of Art
Sorber|Sorber & Hoone-Architects|drawings and watercolors|Junior High School|Sorber & Hoone-Architects|1950s|<blank>|183|Carnegie Museum of Art
Sorber|Sorber & Hoone-Architects|drawings and watercolors|West Point Elementary School, Hempfield Area School District, Greensburgh (sic), PA|Sorber & Hoone-Architects|1956|<blank>|184|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Monzo-Proposed Shopping Plaza and Development, Latrobe, PA|Lekawa Associates Registered Architects|1989|<blank>|185|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Frazier Middle-Senior High School, Perryopolis, PA|Lekawa Associates Registered Architects|1989|<blank>|186|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Bethlehem-Center Senior High School, Fredericktown, PA|Lekawa Associates Registered Architects|1991|<blank>|187|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Latrobe Elementary School, Latrobe, PA|Lekawa Associates Registered Architects|1992|<blank>|188|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Burton Elementary School, Erie, PA|Lekawa Associates Registered Architects|1989|<blank>|189|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Irving Elementary School, Erie, PA|Lekawa Associates Registered Architects|1987|<blank>|190|Carnegie Museum of Art
Hoone|Hoone, Joseph W.|drawings and watercolors|Penn-Trafford Senior High School, Harrison City, PA|Joseph W. Hoone|1970|<blank>|191|Carnegie Museum of Art
Lekawa|Lekawa Associates Registered Architects|drawings and watercolors|Penn Middle School, Harrison City, PA|Lekawa Associates Registered Architects|1986|<blank>|192|Carnegie Museum of Art
Sorber|Sorber & Hoone-Architects|drawings and watercolors|McCullough Elementary School, Penn Township, PA|Sorber & Hoone-Architects|1978?|<blank>|193|Carnegie Museum of Art
Sorber|Sorber & Hoone-Architects|drawings and watercolors|Somerset Area Senior High School, Somerset, PA|Sorber & Hoone-Architects|1951|<blank>|194|Carnegie Museum of Art
Sorber|Sorber & Hoone-Architects|drawings and watercolors|Greensburg Country Club, Greensburg, PA|Sorber & Hoone-Architects|1950|<blank>|195|Carnegie Museum of Art
Hoone|Hoone, Joseph W.|drawings and watercolors|Penn-Trafford Senior High School, Harrison City, PA|Joseph W. Hoone|1968|<blank>|196|Carnegie Museum of Art
Osterling|Osterling, Frederick J.|drawings and watercolors|House for S.P. Fergus, Esq.,  Washington, PA|Frederick J. Osterling|1888|American|203|Carnegie Museum of Art
Chagoya|Chagoya, Enrique|drawings and watercolors|Abenteurer der Kannibalen Bioethicists [Adventure of the Savage Bioethicists],|Enrique Chagoya|2001|Mexican|208|Carnegie Museum of Art
Diebenkorn|Diebenkorn, Richard|drawings and watercolors|Woman - Head & Arms|Richard Diebenkorn|1961|American|209|Carnegie Museum of Art
Miró|Miró, Joan|drawings and watercolors|Les Trois Soeurs (The Three Sisters)|Joan Miró|1938|Spanish|210|Carnegie Museum of Art
Clegg|Clegg, Tessa|sculpture|Button Box|Tessa Clegg|2000|British|219|Carnegie Museum of Art
Romanelli|Romanelli, Bruno|sculpture|Boxed 1|Bruno Romanelli|1998|British|228|Carnegie Museum of Art
Sabokova|Sabokova, Gizela|sculpture|Sun Star|Gizela Sabokova|1998|Czech|229|Carnegie Museum of Art
Schwieder|Schwieder, Paul|sculpture|Beginning to Breathe|Paul Schwieder|1999|Canadian|230|Carnegie Museum of Art
McLaughlin|McLaughlin, John|drawings and watercolors|Working Proof for 5108 FEX series|John McLaughlin|1963|American|233|Carnegie Museum of Art
Artschwager|Artschwager, Richard|sculpture|Diptych III|Richard Artschwager|1967|American|234|Carnegie Museum of Art
Alma-Tadema|Alma-Tadema, Lawrence|paintings|Dr. Washington Epps, My Doctor|Lawrence Alma-Tadema|1885|Dutch|251|Carnegie Museum of Art
Anshutz|Anshutz, Thomas Pollock|paintings|Study for Steamboat on the Ohio|Thomas Pollock Anshutz|c. 1896|American|252|Carnegie Museum of Art
Leck|Leck, Bart Antony van der|paintings|Elephant|Bart Antony van der Leck|1924|Dutch|253|Carnegie Museum of Art
Matisse|Matisse, Henri|prints|Small Black Woodcut (Petit bois noir)|Henri Matisse|1906|French|254|Carnegie Museum of Art
Fujimori|Fujimori Shizuo|prints|Red Gate of Tokyo University in Early Summer|Fujimori Shizuo|1929|Japanese|255|Carnegie Museum of Art
Fujimori|Fujimori Shizuo|prints|Red Gate of Tokyo University in Early Summer|Fujimori Shizuo|5/18/1929|Japanese|256|Carnegie Museum of Art
Fujimori|Fujimori Shizuo|prints|Central Meteorological Observatory|Fujimori Shizuo|7/30/1929|Japanese|257|Carnegie Museum of Art
Fujimori|Fujimori Shizuo|prints|Central Meteorological Observatory|Fujimori Shizuo|1929|Japanese|258|Carnegie Museum of Art
Lautensack|Lautensack, Hanns|prints|A Large Castle Overlooking a Winding Valley with Two Towers|Hanns Lautensack|1553|German|259|Carnegie Museum of Art
Master|Master L. D.|prints|Alexander the Great Taming Bucephalus|Master L. D.|c. 1550|French|260|Carnegie Museum of Art
Mockbee|Mockbee, Samuel|drawings and watercolors| Lucy's House, Mason's Bend, AL; elevation and floor plan|Samuel Mockbee|2001|American|261|Carnegie Museum of Art
Mockbee|Mockbee, Samuel|drawings and watercolors|Lucy's House, Mason's Bend, AL; elevations, plans and sections|Samuel Mockbee|2001|American|262|Carnegie Museum of Art
Mockbee|Mockbee, Samuel|drawings and watercolors|Lucy's House, Mason's Bend, AL; elevation, section and floor plan|Samuel Mockbee|2001|American|263|Carnegie Museum of Art
Mockbee|Mockbee, Samuel|drawings and watercolors| Lucy's House, Mason's Bend, AL; elevations, plan, section, and perspective|Samuel Mockbee|2001|American|264|Carnegie Museum of Art
Mockbee|Mockbee, Samuel|drawings and watercolors|Lucy's House, Mason's Bend, AL: Lucy and her daughter in their old dwelling|Samuel Mockbee|2001|American|265|Carnegie Museum of Art
Paschke|Paschke, Ed|paintings|Kevin|Ed Paschke|1976|American|269|Carnegie Museum of Art
Pearlstein|Pearlstein, Philip|paintings|Family Picnic|Philip Pearlstein|1941|American|270|Carnegie Museum of Art
Pearlstein|Pearlstein, Philip|paintings|Umbria #1|Philip Pearlstein|1959|American|271|Carnegie Museum of Art
Bochner|Bochner, Mel|drawings and watercolors|"working drawing for ""Syncline"""|Mel Bochner|1980|American|272|Carnegie Museum of Art
Bochner|Bochner, Mel|drawings and watercolors|"working drawing for ""Syncline"""|Mel Bochner|1980|American|273|Carnegie Museum of Art
Bochner|Bochner, Mel|drawings and watercolors|"working drawing for ""Syncline"""|Mel Bochner|1980|American|274|Carnegie Museum of Art
Lawrence|Lawrence, Thomas|paintings|Lieutenant-General Sir Herbert Taylor, G.C.B. (1775-1839)|Sir Thomas Lawrence|c. 1806|British|275|Carnegie Museum of Art
Peters|Peters, Reverend Matthew William|paintings|Hero, Ursula, and Beatrice in Leonato's Garden (act 3, scene 1 from Much Ado About Nothing)|Reverend Matthew William Peters|1788-1789|British|276|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (second page)|Allen Jones|1971|English|277|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (third page)|Allen Jones|1971|English|278|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (fourth page)|Allen Jones|1971|English|279|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (fifth page)|Allen Jones|1971|English|280|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (sixth page)|Allen Jones|1971|English|281|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (seventh page)|Allen Jones|1971|English|282|Carnegie Museum of Art
Jones|Jones, Allen|prints|Album (eighth page)|Allen Jones|1971|English|283|Carnegie Museum of Art
Turnbull|Turnbull, William|prints|Fragments (title)|William Turnbull|1971|English|284|Carnegie Museum of Art
Turnbull|Turnbull, William|prints|Fragments (knees)|William Turnbull|1971|English|285|Carnegie Museum of Art
Turnbull|Turnbull, William|prints|Fragments (back)|William Turnbull|1971|English|286|Carnegie Museum of Art
Turnbull|Turnbull, William|prints|Fragments (crossed legs)|William Turnbull|1971|English|287|Carnegie Museum of Art
Turnbull|Turnbull, William|prints|Fragments (feet)|William Turnbull|1971|English|288|Carnegie Museum of Art
Appel|Appel, Karel|paintings|Deux Tetes|Karel Appel|1959|Dutch|290|Carnegie Museum of Art
Ruscha|Ruscha, Edward|drawings and watercolors|Devil Angel|Edward Ruscha|1988|American|291|Carnegie Museum of Art
Cufone|Cufone|drawings and watercolors|Untitled|Cufone|1973|undetermined|292|Carnegie Museum of Art
Rauch|Rauch, Neo|paintings|Art|Neo Rauch|2002|German|294|Carnegie Museum of Art
Batten|Batten, John D.|paintings|The Garden of Adonis - Amoretta and Time|John D. Batten|1887|British|295|Carnegie Museum of Art
Mies van der Rohe|Mies van der Rohe, Ludwig|drawings and watercolors|Courtyard of House for Margarete Hubbe, Magdeburg, Germany|Ludwig Mies van der Rohe|1935|German|296|Carnegie Museum of Art
Holstad|Holstad, Christian|drawings and watercolors|Swing Set|Christian Holstad|2003|American|313|Carnegie Museum of Art
Holstad|Holstad, Christian|drawings and watercolors|Sleep Walker|Christian Holstad|2003|American|314|Carnegie Museum of Art
Holstad|Holstad, Christian|drawings and watercolors|Round Up|Christian Holstad|2003|American|315|Carnegie Museum of Art
Holstad|Holstad, Christian|drawings and watercolors|New Trial Eyes|Christian Holstad|2003|American|316|Carnegie Museum of Art
Celmins|Celmins, Vija|prints|Untitled (Web 4)|Vija Celmins|2002|American|318|Carnegie Museum of Art
Hafftka|Hafftka, Michael|paintings|Portrait of John Caldwell|Michael Hafftka|1993|American|319|Carnegie Museum of Art
Abts|Abts, Tomma|paintings|Teete|Tomma Abts|2003|German|320|Carnegie Museum of Art
Althamer|Althamer, Paweł|sculpture|Self-Portrait as an Old Man|Paweł Althamer|1993|Polish|321|Carnegie Museum of Art
Borremans|Borremans, Michaël|paintings|The Lucky Ones|Michaël Borremans|2002|Belgian|322|Carnegie Museum of Art
