last_name|cited_name|artwork_genre|title|artist|creation_date|nationality|index|museum
Fischer|Fischer, Hans E.|prints|Chat|Hans Erich Fischer|<blank>|Swiss|9904|Carnegie Museum of Art
Friedlaender|Friedlaender, Johnny|prints|Fleurs|Johnny Friedlaender|<blank>|German|9905|Carnegie Museum of Art
Dioda|Dioda, Adolph|sculpture|Horse|Adolph Dioda|1953-1954|American|9906|Carnegie Museum of Art
Pollock|Pollock, Jackson|paintings|Number 4|Jackson Pollock|1950|American|9907|Carnegie Museum of Art
Carles|Carles, Arthur Beecher|paintings|Composition|Carles, Arthur Beecher|1925-1927|American|9908|Carnegie Museum of Art
Hornung|Hornung, Preben|paintings|Long Bridge No. 13|Preben Hornung|1952|Danish|9909|Carnegie Museum of Art
Jaenisch|Jaenisch, Hans|paintings|Scorpion|Hans Jaenisch|1951|German|9910|Carnegie Museum of Art
Warshaw|Warshaw, Howard|paintings|Three Hands|Howard Warshaw|1951|American|9911|Carnegie Museum of Art
Twiggs|Twiggs, Russell G.|paintings|The Overseer|Russell Gould Twiggs|1953|American|9912|Carnegie Museum of Art
Léger|Léger, Fernand|paintings|Composition with Three Figures--Fragment|Fernand Léger|1932|French|9913|Carnegie Museum of Art
Ochtervelt|Ochtervelt, Jacob|paintings|Lady with Servant and Dog|Jacob Ochtervelt|c. 1671-1673|Dutch|9914|Carnegie Museum of Art
Lawman|Lawman, Jasper H.|paintings|Self-Portrait|Jasper Holman Lawman|c. 1853|American|9915|Carnegie Museum of Art
Matta|Matta, Roberto|paintings|The Continuous Miner|Roberto Matta|1954|Chilean|9917|Carnegie Museum of Art
Murch|Murch, Walter T.|paintings|The Continuous Miner|Walter Tandy Murch|1954|Canadian|9918|Carnegie Museum of Art
Shahn|Shahn, Ben|drawings and watercolors|The Continuous Miner|Ben Shahn|1954|American|9919|Carnegie Museum of Art
Steinberg|Steinberg, Saul|drawings and watercolors|Joy Continuous Miner|Saul Steinberg|1954|American|9920|Carnegie Museum of Art
Sterne|Sterne, Hedda|paintings|The Continuous Miner|Hedda Sterne|1954|American|9921|Carnegie Museum of Art
Tamayo|Tamayo, Rufino|paintings|The Continuous Miner|Rufino Tamayo|1954|Mexican|9922|Carnegie Museum of Art
Frasconi|Frasconi, Antonio|prints|The Continuous Miner|Antonio Frasconi|1954|American|9923|Carnegie Museum of Art
Frasconi|Frasconi, Antonio|prints|The Continuous Miner|Antonio Frasconi|1954|American|9924|Carnegie Museum of Art
Diana|Diana, Benedetto|paintings|Madonna and Child|Benedetto Diana|late 15th - early 16th century|Italian|9925|Carnegie Museum of Art
Hetzel|Hetzel, George|paintings|Landscape|George Hetzel|c. 1880|American|9927|Carnegie Museum of Art
Kane|Kane, John|paintings|Larimer Avenue Bridge|John Kane|1932|American|9928|Carnegie Museum of Art
Blythe|Blythe, David G.|paintings|Confederate Soldier at the Well|David Gilmour Blythe|c. 1861|American|9929|Carnegie Museum of Art
Blythe|Blythe, David G.|paintings|Harvesting|David Gilmour Blythe|c. 1863-1864|American|9930|Carnegie Museum of Art
Blythe|Blythe, David G.|paintings|Man Eating in a Field|David Gilmour Blythe|c. 1856-1863|American|9931|Carnegie Museum of Art
Blythe|Blythe, David G.|drawings and watercolors|A Free-Trade Man (William Blakely)|David Gilmour Blythe|1854-1858|American|9932|Carnegie Museum of Art
Blythe|Blythe, David G.|drawings and watercolors|Portrait of the Artist|David Gilmour Blythe|c. 1848|American|9933|Carnegie Museum of Art
Vigil|Vigil, Paul|drawings and watercolors|Tesuque Buffalo Dancers|Paul Vigil|1954|American|9934|Carnegie Museum of Art
Adam|Adam, Henri G.|prints|La Dame|Henri Georges Adam|1952|French|9935|Carnegie Museum of Art
Friedlaender|Friedlaender, Johnny|prints|Le Chat|Johnny Friedlaender|1952|German|9936|Carnegie Museum of Art
Manessier|Manessier, Alfred|prints|Composition|Alfred Manessier|1952|French|9937|Carnegie Museum of Art
Singier|Singier, Gustave|prints|Untitled|Gustave Singier|1953|French|9938|Carnegie Museum of Art
Villon|Villon, Jacques|prints|La Cathedral (De Rouen)|Jacques Villon|1948|French|9939|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9940|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9941|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9942|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9943|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9944|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9945|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9946|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Femme de profil (Woman in Profile)|Jacques Villon|1907|French|9947|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Owl Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9948|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Vautours (Vultures)|Jacques Villon|1907|French|9949|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Impressions dessinées d'après nature et lithographies|Jacques Villon|1907|French|9950|Carnegie Museum of Art
Vuillard|Vuillard, Edouard|drawings and watercolors|Le Général Rossignol|Edouard Vuillard|1895|French|9951|Carnegie Museum of Art
Bonnard|Bonnard, Pierre|prints|Couverture de L'Album d'estampes originales de la Galerie Vollard (Cover of the Album of Original Prints from the Vollard Gallery)|Pierre Bonnard|1897|French|9952|Carnegie Museum of Art
Bonnard|Bonnard, Pierre|prints|House in the Courtyard (Maison dans la cour)|Pierre Bonnard|1896-1899|French|9953|Carnegie Museum of Art
Derain|Derain, André|prints|Tête de femme (Head of a Woman)|André Derain|1927|French|9954|Carnegie Museum of Art
Pascin|Pascin, Jules|prints|Cerdrillon (Suite of Five Gravures)|Jules Pascin|1929|American|9955|Carnegie Museum of Art
Pascin|Pascin, Jules|prints|Cendrillon (Suite of Five Gravures)|Jules Pascin|1929|American|9956|Carnegie Museum of Art
Pascin|Pascin, Jules|prints|Cendrillon (Suite of Five Gravures)|Jules Pascin|1929|American|9957|Carnegie Museum of Art
Pascin|Pascin, Jules|prints|Cendrillon (Suite of Five Gravures)|Jules Pascin|1929|American|9958|Carnegie Museum of Art
Pascin|Pascin, Jules|prints|Cendrillon (Suite of Five Gravures)|Jules Pascin|1929|American|9959|Carnegie Museum of Art
Prendergast|Prendergast, Maurice B.|drawings and watercolors|Woman on a Garden Path|Maurice Brazil Prendergast|c. 1900|American|9960|Carnegie Museum of Art
Rodin|Rodin, Auguste|prints|Le Printemps (Springtime)|Auguste Rodin|1883|French|9961|Carnegie Museum of Art
Rousseau|Rousseau, Theodore|drawings and watercolors|Trees in Landscape|Theodore Rousseau|<blank>|French|9962|Carnegie Museum of Art
Steinlen|Steinlen, Alexandre T.|drawings and watercolors|Lovers|Alexandre Theophile Steinlen|c. 1895|French|9963|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Les Cartes (The Cards)|Jacques Villon|1903|French|9964|Carnegie Museum of Art
Blythe|Blythe, David G.|paintings|Rebecca Describes the Battle to Ivanhoe|David Gilmour Blythe|c. 1859-1863|American|9965|Carnegie Museum of Art
unknown|unknown Chinese|paintings|Fresco of a Goddess|unknown Chinese|1279-1644|Chinese|9972|Carnegie Museum of Art
Smith|Smith, David|sculpture|Question and Answer|David Smith|1951|American|9979|Carnegie Museum of Art
Day|Day, Wörden|prints|Burnt Ordinary|Wörden Day|1951|American|9981|Carnegie Museum of Art
Day|Day, Wörden|prints|Tumuli|Wörden Day|<blank>|American|9982|Carnegie Museum of Art
Bruegel|Bruegel, Pieter, I|prints|Christ and the Adulteress|Pieter Bruegel I|1579|Flemish|9983|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|Seated Youth Leaning Against an Urn|Giovanni Battista Tiepolo|c. 1743-1749|Italian|9984|Carnegie Museum of Art
La Fresnaye|La Fresnaye, Roger de|drawings and watercolors|Male Nude|Roger de La Fresnaye|1911|French|9985|Carnegie Museum of Art
Klee|Klee, Paul|prints|Bearded Man|Paul Klee|1925|Swiss|9986|Carnegie Museum of Art
Homer|Homer, Winslow|prints|The Army of the Potomac: a Sharp-Shooter on Picket Duty|Winslow Homer|1862|American|9987|Carnegie Museum of Art
Homer|Homer, Winslow|prints|Art Students & Coypists in the Louvre Gallery|Winslow Homer|1868|American|9988|Carnegie Museum of Art
Homer|Homer, Winslow|prints|Gathering Berries|Winslow Homer|1874|American|9989|Carnegie Museum of Art
Homer|Homer, Winslow|prints|Homeward Bound|Winslow Homer|1867|American|9990|Carnegie Museum of Art
Homer|Homer, Winslow|prints|The Nooning|Winslow Homer|1873|American|9991|Carnegie Museum of Art
Homer|Homer, Winslow|prints|Raid on a Sand Swallow Colony, How Many Eggs?|Winslow Homer|1874|American|9992|Carnegie Museum of Art
Homer|Homer, Winslow|prints|Snap the Whip|Winslow Homer|1870|American|9993|Carnegie Museum of Art
Prendergast|Prendergast, Maurice B.|drawings and watercolors|In the Summertime|Maurice Brazil Prendergast|1914-1920|American|9994|Carnegie Museum of Art
Denis|Denis, Maurice|prints|Love (Amour)|Maurice Denis|1898-1899|French|9995|Carnegie Museum of Art
Vallotton|Vallotton, Felix|prints|The Murder (L'assassinat)|Felix Vallotton|1893|Swiss|9996|Carnegie Museum of Art
Pruss|Pruss, Johann|prints|King Tharias and His Men Swear to be Baptised and Become Christians at the Cloister of Sarnach|Johann Pruss|1483|German|9997|Carnegie Museum of Art
Cremonini|Cremonini, Leonardo|paintings|Seesaw|Leonardo Cremonini|1949-1950|Italian|9998|Carnegie Museum of Art
Lassaw|Lassaw, Ibram|sculpture|Aphaea|Ibram Lassaw|1954|American|9999|Carnegie Museum of Art
Greene|Greene, Balcomb|paintings|Abstraction|Balcomb Greene|1952|American|10000|Carnegie Museum of Art
Doolittle|Doolittle, Amos|prints|The Battle of Lexington, April 19th, 1775|Amos Doolittle|12/13/1775|American|10001|Carnegie Museum of Art
Doolittle|Doolittle, Amos|prints|The Engagement at the North Bridge in Concord|Amos Doolittle|12/13/1775|American|10002|Carnegie Museum of Art
Doolittle|Doolittle, Amos|prints|A View of the South Part of Lexington|Amos Doolittle|12/13/1775|American|10003|Carnegie Museum of Art
Doolittle|Doolittle, Amos|prints|A View of the Town of Concord|Amos Doolittle|12/13/1775|American|10004|Carnegie Museum of Art
Currier|Currier, Nathaniel|prints|Surrender of General Burgoyne at Saratoga, N.Y., October 17th, 1777|Nathaniel Currier|1852|American|10005|Carnegie Museum of Art
Savage|Savage, Edward|prints|George Washington|Edward Savage|1801|American|10006|Carnegie Museum of Art
Sandby|Sandby, Paul|prints|A View of Bethlehem, The Great Moravian Settlement in the Province of Pennsylvania|Paul Sandby|May 1761|British|10007|Carnegie Museum of Art
Kellogg|Kellogg, D.W. and Co.|prints|Defeat of General Braddock, July 9, 1755|D.W. Kellogg and Co.|c. 1840|American|10008|Carnegie Museum of Art
unknown|unknown British|prints|A New Method of Macaroni Making as Practiced at Boston in North America|unknown British|1775|British|10009|Carnegie Museum of Art
Wilson|Wilson, Benjamin|prints|The Repeal, or the Funeral of Miss Ame-Stamp|Benjamin Wilson|1766|British|10010|Carnegie Museum of Art
Serres|Serres, Dominic|prints|The Phoenix and the Rose Engaged by the Enemy's Fire Ships and Galleys on the 16 August, 1776|Dominic Serres|April 2, 1778|English|10011|Carnegie Museum of Art
Sayer|Sayer, R. and J. Bennett, Publishers|prints|The Seat of the War in New England, By an American Volunteer with Plan of Boston Harbour, and Plan of the Town of Boston with the Attack onBunkers Hill in the Peninsula of Charlestown|R. Sayer and J. Bennett|1775|English|10012|Carnegie Museum of Art
Green|Green, Valentine|prints|General Washington|Valentine Green|1785|English|10013|Carnegie Museum of Art
Currier|Currier, Nathaniel|prints|Surrender of Lord Cornwallis at Yorktown, Va., October 19th, 1781|Nathaniel Currier|1852|American|10014|Carnegie Museum of Art
Frankenthaler|Frankenthaler, Helen|paintings|The Facade|Helen Frankenthaler|1954|American|10015|Carnegie Museum of Art
Pfister|Pfister, Jean J.|paintings|The Lone Eagle and the Waning Moon|Jean Jacques Pfister|1938|American|10016|Carnegie Museum of Art
Corneille|Corneille|paintings|Where the Pavement Ends (Au Dela Des Chemins)|Corneille (Cornelius Guillaume Van Beverloo)|1955|Belgian|10017|Carnegie Museum of Art
Doucet|Doucet, Jacques|paintings|Painting No. 47|Jacques Doucet|1954|French|10018|Carnegie Museum of Art
Eklind|Eklind, Marjorie|paintings|Blackbird|Marjorie Eklind|1955|American|10019|Carnegie Museum of Art
De Kooning|De Kooning, Willem|paintings|Woman VI|Willem De Kooning|1953|American|10020|Carnegie Museum of Art
Scott|Scott, William|paintings|Seated Figure|William Scott|1954|British|10021|Carnegie Museum of Art
Sugaï|Sugaï Kumi|paintings|Night in the Square|Sugaï Kumi|1954|Japanese|10022|Carnegie Museum of Art
Wingren|Wingren, Dan|paintings|The Thicket|Dan Wingren|1951|American|10023|Carnegie Museum of Art
Pedersen|Pedersen, Carl-Henning|paintings|Venetian Landscape|Carl-Henning Pedersen|1954|Danish|10024|Carnegie Museum of Art
Bear|Bear, S. Lee|prints|Trinity Cathedral|S. Lee Bear|1951|American|10025|Carnegie Museum of Art
Manessier|Manessier, Alfred|paintings|Crown of Thorns|Alfred Manessier|1954|French|10026|Carnegie Museum of Art
Dudant|Dudant, Roger|paintings|Abandoned|Roger Dudant|1954|Belgian|10027|Carnegie Museum of Art
unknown|unknown European|sculpture|Crosier|unknown European|18th century|European|10028|Carnegie Museum of Art
Baziotes|Baziotes, William|paintings|Black Night|William Baziotes|1954|American|10030|Carnegie Museum of Art
Marca-Relli|Marca-Relli, Conrad|paintings|The Tenant|Conrad Marca-Relli|1955|American|10031|Carnegie Museum of Art
Rowlands|Rowlands, Tom|paintings|Roman Relics|Tom Rowlands|1955|American|10032|Carnegie Museum of Art
Toulouse-Lautrec|Toulouse-Lautrec, Henri de|prints|La passagère du 54 (The Passenger from 54)|Henri Marie Raymond de Toulouse-Lautrec|1896|French|10033|Carnegie Museum of Art
Twiggs|Twiggs, Russell G.|paintings|Unfolding|Russell Gould Twiggs|1950|American|10034|Carnegie Museum of Art
Twiggs|Twiggs, Russell G.|prints|Monoprint No. 2, (Dance I)|Russell Gould Twiggs|1952|American|10035|Carnegie Museum of Art
Dioda|Dioda, Adolph|sculpture|St. Francis and the Wolf|Adolph Dioda|1951|American|10036|Carnegie Museum of Art
Blythe|Blythe, David G.|paintings|Man Putting on Boots|David Gilmour Blythe|1856-1860|American|10038|Carnegie Museum of Art
Fromentin|Fromentin, Eugène|paintings|Cavaliers returning from a fantasia near Algiers|Eugène Fromentin|1861|French|10049|Carnegie Museum of Art
Fischer|Fischer, Hans E.|prints|Les Hommes Poissons|Hans Erich Fischer|1955|Swiss|10050|Carnegie Museum of Art
Giacometti|Giacometti, Alberto|sculpture|Quatre Figures Sur un Socle (Four Figures on a Pedestal)|Alberto Giacometti|1950|Swiss|10051|Carnegie Museum of Art
Levee|Levee, John|prints|Composition I|John Levee|<blank>|American|10058|Carnegie Museum of Art
Levee|Levee, John|prints|Composition II|John Levee|<blank>|American|10059|Carnegie Museum of Art
Léger|Léger, Fernand|prints|The Vase|Fernand Léger|1925|French|10060|Carnegie Museum of Art
Lacasse|Lacasse, Joseph|paintings|Composition in Orange-White|Joseph Lacasse|<blank>|Belgian|10061|Carnegie Museum of Art
Arnold|Arnold, S.|paintings|McConnell's Mills|S. Arnold|1894|American|10064|Carnegie Museum of Art
Marini|Marini, Marino|sculpture|Horse and Rider|Marino Marini|c. 1955|Italian|10069|Carnegie Museum of Art
Smith|Smith, David|sculpture|All Around the Square|David Smith|1951|American|10070|Carnegie Museum of Art
Pedersen|Pedersen, Carl-Henning|paintings|Flyvende Gron Fugl (Flying Green Bird)|Carl-Henning Pedersen|1954|Danish|10071|Carnegie Museum of Art
Pedersen|Pedersen, Carl-Henning|paintings|Abessimer|Carl-Henning Pedersen|1954|Danish|10072|Carnegie Museum of Art
Carrà|Carrà, Carlo|paintings|The Swimmers|Carlo Carrà|1910-1912|Italian|10073|Carnegie Museum of Art
Greene|Greene, Balcomb|paintings|The Mirror|Balcomb Greene|1946-1947|American|10074|Carnegie Museum of Art
Masson|Masson, André|paintings|Spring Moon|André Masson|1952|French|10075|Carnegie Museum of Art
Trökes|Trökes, Heinz|paintings|Hearing and Seeing|Heinz Trökes|1951|German|10076|Carnegie Museum of Art
Wou-Ki|Wou-Ki, Zao|paintings|Black Crowd|Zao Wou-Ki|1954|French|10078|Carnegie Museum of Art
Picabia|Picabia, Francis|drawings and watercolors|Machine Sans Nom (Machine with No Name)|Francis Picabia|1915|French|10079|Carnegie Museum of Art
Kirchner|Kirchner, Ernst L.|paintings|The Lighthouse of Fehmarn|Ernst Ludwig Kirchner|1912|German|10082|Carnegie Museum of Art
Battke|Battke, Heinz|drawings and watercolors|Portrait of Henri Matisse|Heinz Battke|1949|German|10083|Carnegie Museum of Art
Bertrand|Bertrand, Gaston|drawings and watercolors|Palamos|Gaston Bertrand|1954|Belgian|10084|Carnegie Museum of Art
Bertrand|Bertrand, Gaston|drawings and watercolors|Untitled|Gaston Bertrand|<blank>|Belgian|10085|Carnegie Museum of Art
Bertrand|Bertrand, Gaston|drawings and watercolors|Caprarola|Gaston Bertrand|<blank>|Belgian|10086|Carnegie Museum of Art
Nicholson|Nicholson, Ben|drawings and watercolors|Roof Tops, St. Ives|Ben Nicholson|<blank>|English|10087|Carnegie Museum of Art
Buchholz|Buchholz, Erich|drawings and watercolors|I Have Faith|Erich Buchholz|1920|German|10088|Carnegie Museum of Art
Buchholz|Buchholz, Erich|drawings and watercolors|Blue Chamber|Erich Buchholz|1920|German|10089|Carnegie Museum of Art
Buchholz|Buchholz, Erich|drawings and watercolors|Black, Gold and Red|Erich Buchholz|1921|German|10090|Carnegie Museum of Art
Buchholz|Buchholz, Erich|drawings and watercolors|Black on Blue|Erich Buchholz|1919|German|10091|Carnegie Museum of Art
Buchholz|Buchholz, Erich|drawings and watercolors|The Black Diagonal|Erich Buchholz|1921|German|10092|Carnegie Museum of Art
Anselmo|Anselmo|drawings and watercolors|Untitled|Anselmo|1954-1955|Italian|10093|Carnegie Museum of Art
Anselmo|Anselmo|drawings and watercolors|Untitled|Anselmo|1954-1955|Italian|10094|Carnegie Museum of Art
Picasso|Picasso, Pablo|prints|Torse De Femme|Pablo Picasso|1954|Spanish|10095|Carnegie Museum of Art
Friedlaender|Friedlaender, Johnny|prints|Poisson Jaune|Johnny Friedlaender|<blank>|German|10096|Carnegie Museum of Art
Butler|Butler, Reg|prints|Head Looking Up|Reg Butler|1954|English|10097|Carnegie Museum of Art
Butler|Butler, Reg|prints|Metamorphoses|Reg Butler|1954|English|10098|Carnegie Museum of Art
Butler|Butler, Reg|prints|Monster Head|Reg Butler|1954|English|10099|Carnegie Museum of Art
Butler|Butler, Reg|prints|Ophelia|Reg Butler|1954|English|10100|Carnegie Museum of Art
Butler|Butler, Reg|prints|Personage|Reg Butler|1954|English|10101|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|drawings and watercolors|Untitled|Henri Heerbrant|1952|Belgian|10102|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|drawings and watercolors|Untitled|Henri Heerbrant|1954|Belgian|10103|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|drawings and watercolors|Untitled|Henri Heerbrant|1954|Belgian|10104|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10105|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10106|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10107|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10108|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10109|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10110|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10111|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10112|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10113|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10114|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10115|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10116|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10117|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10118|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10119|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10120|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10121|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10122|Carnegie Museum of Art
Heerbrant|Heerbrant, Henri|prints|Untitled|Henri Heerbrant|1954|Belgian|10123|Carnegie Museum of Art
Libby|Libby, William C.|prints|The Flame|William Charles Libby|<blank>|American|10124|Carnegie Museum of Art
Meadows|Meadows, Bernard|drawings and watercolors|Cock|Bernard Meadows|1953|British|10125|Carnegie Museum of Art
Mendelson|Mendelson, Marc|prints|Untitled|Marc Mendelson|<blank>|Belgian|10126|Carnegie Museum of Art
Mendelson|Mendelson, Marc|drawings and watercolors|Palamos|Marc Mendelson|1954|Belgian|10127|Carnegie Museum of Art
Borduas|Borduas, Paul Emile|drawings and watercolors|Baisers Perdus|Paul Emile Borduas|1954|Canadian|10129|Carnegie Museum of Art
Pedersen|Pedersen, Carl-Henning|drawings and watercolors|Portrait (Italian)|Carl-Henning Pedersen|1952|Danish|10130|Carnegie Museum of Art
Pedersen|Pedersen, Carl-Henning|drawings and watercolors|Boats|Carl-Henning Pedersen|1952|Danish|10131|Carnegie Museum of Art
Pedersen|Pedersen, Carl-Henning|drawings and watercolors|Bird in Landscape (Norway)|Carl-Henning Pedersen|1952|Danish|10132|Carnegie Museum of Art
Prassinos|Prassinos, Mario|prints|Untitled|Mario Prassinos|<blank>|Greek|10133|Carnegie Museum of Art
Prassinos|Prassinos, Mario|prints|Untitled|Mario Prassinos|<blank>|Greek|10134|Carnegie Museum of Art
Scialoja|Scialoja, Toti|prints|Mattino d'Inverno|Toti Scialoja|<blank>|Italian|10135|Carnegie Museum of Art
Singier|Singier, Gustave|prints|Signalisation Optimiste|Gustave Singier|1955|French|10136|Carnegie Museum of Art
Zeid|Zeid, Fahrelnissa|prints|Untitled|Fahrelnissa Zeid|c. 1950|Turkish|10137|Carnegie Museum of Art
Zeid|Zeid, Fahrelnissa|prints|Untitled|Fahrelnissa Zeid|c. 1950|Turkish|10138|Carnegie Museum of Art
Rodin|Rodin, Auguste|sculpture|Sorrow|Auguste Rodin|c. 1903-1905|French|10139|Carnegie Museum of Art
Wissing|Wissing, Willem|paintings|Portrait of a Gentleman|Willem Wissing|c. 1685|Dutch|10142|Carnegie Museum of Art
Fischer|Fischer, Ida|paintings|Nova Scotia Abstraction|Ida Fischer|c. 1945-1955|American|10143|Carnegie Museum of Art
Maurer|Maurer, Alfred H.|paintings|Landscape|Alfred Maurer|c. 1911|American|10144|Carnegie Museum of Art
Fisher|Fisher, Edward|prints|Lord Ligonier|Edward Fisher|1760|Irish|10145|Carnegie Museum of Art
Lawman|Lawman, Jasper H.|paintings|Snyder's Hollow|Jasper Holman Lawman|1870|American|10146|Carnegie Museum of Art
Glackens|Glackens, William J.|paintings|La Villette|William James Glackens|c. 1895|American|10147|Carnegie Museum of Art
Calcagno|Calcagno, Lawrence|paintings|Journey South|Lawrence Calcagno|1955|American|10148|Carnegie Museum of Art
Pechstein|Pechstein, H. M.|paintings|The Red Turban|H. Max Pechstein|1911|German|10149|Carnegie Museum of Art
unknown|unknown Chinese|sculpture|Ornament|unknown Chinese|17th-18th century|Chinese|10150|Carnegie Museum of Art
MacDonald-Wright|MacDonald-Wright, Stanton|paintings|Sunrise Synchromy in Violet|Stanton MacDonald-Wright|1918|American|10151|Carnegie Museum of Art
Klee|Klee, Paul|drawings and watercolors|Contemplation Précisée|Paul Klee|1927|Swiss|10152|Carnegie Museum of Art
Matisse|Matisse, Henri|prints|Nu Assis|Henri Matisse|1929|French|10153|Carnegie Museum of Art
Picasso|Picasso, Pablo|prints|The Diver (La Plongeuse)|Pablo Picasso|1932, December|Spanish|10154|Carnegie Museum of Art
Balthus|Balthus|prints|Le Nain|Balthus|<blank>|French|10155|Carnegie Museum of Art
Springer|Springer, Ferdinand|prints|Composition|Ferdinand Springer|<blank>|German|10156|Carnegie Museum of Art
Campigli|Campigli, Massimo|prints|Teatra|Massimo Campigli|<blank>|Italian|10157|Carnegie Museum of Art
Leuppi|Leuppi, Leo|prints|Poeme Rythmique|Leo Leuppi|<blank>|Swiss|10158|Carnegie Museum of Art
Romiti|Romiti, Sergio|prints|Composition|Sergio Romiti|1952|Italian|10159|Carnegie Museum of Art
Bissière|Bissière, Roger|prints|Composition|Roger Bissière|<blank>|French|10160|Carnegie Museum of Art
Hugnet|Hugnet, Georges|prints|Le Bouquet|Georges Hugnet|<blank>|French|10161|Carnegie Museum of Art
Friedlaender|Friedlaender, Johnny|prints|Le Coq|Johnny Friedlaender|<blank>|German|10162|Carnegie Museum of Art
Gross|Gross, Anthony|prints|Les Poissons|Anthony Gross|<blank>|British|10163|Carnegie Museum of Art
Villon|Villon, Jacques|prints|Les Cavaliers|Jacques Villon|1951|French|10164|Carnegie Museum of Art
Piza|Piza, Arthur L.|prints|Composition|Arthur Luiz Piza|1953|Brazilian|10165|Carnegie Museum of Art
Giacometti|Giacometti, Alberto|prints|Studio II|Alberto Giacometti|<blank>|Swiss|10166|Carnegie Museum of Art
Léger|Léger, Fernand|prints|Two Faces|Fernand Léger|1951|French|10167|Carnegie Museum of Art
Laurens|Laurens, Henri|prints|Crouching Nude|Henri Laurens|1950|French|10168|Carnegie Museum of Art
Laurens|Laurens, Henri|prints|Reclining Nude|Henri Laurens|1950|French|10169|Carnegie Museum of Art
Laurens|Laurens, Henri|prints|Seated Nude|Henri Laurens|1950|French|10170|Carnegie Museum of Art
Braque|Braque, Georges|prints|The Guitar, 1953|Georges Braque|1953|French|10171|Carnegie Museum of Art
Miró|Miró, Joan|prints|People and Animals|Joan Miró|1950|Spanish|10172|Carnegie Museum of Art
Hartung|Hartung, Hans|prints|Abstract|Hans Hartung|c. 1953|French|10173|Carnegie Museum of Art
Braque|Braque, Georges|prints|Composition, 1949|Georges Braque|1949|French|10174|Carnegie Museum of Art
Braque|Braque, Georges|prints|Composition (Nature Morte I)|Georges Braque|1911|French|10175|Carnegie Museum of Art
