last_name,cited_name,classification,title,full_name,creation_date,nationality,index
Cook,"Cook, Robert A.",drawings and watercolors,School; [floor plan] (en suite with 1997.29.34.1-.5),Robert Allen Cook,c. late 19th-early 20th century,American,6560
Cook,"Cook, Robert A.",drawings and watercolors,School; [floor plan] (en suite with 1997.29.34.1-.5),Robert Allen Cook,c. late 19th-early 20th century,American,6561
Cook,"Cook, Robert A.",drawings and watercolors,School; [floor plan] (en suite with 1997.29.34.1-.5),Robert Allen Cook,c. late 19th-early 20th century,American,6562
Cook,"Cook, Robert A.",drawings and watercolors,Window; [elevation],Robert Allen Cook,c. late 19th-early 20th century,American,6563
Cook,"Cook, Robert A.",drawings and watercolors,"Restaurant; Tea House for George A. Draper, Hopedale, MA; [floor plan]",Robert Allen Cook,1903,American,6564
Cook,"Cook, Robert A.",drawings and watercolors,Stable; [floor plan] (en suite with 1997.29.37.1-.3),Robert Allen Cook,c. late 19th-early 20th century,American,6565
Cook,"Cook, Robert A.",drawings and watercolors,Stable; [floor plan] (en suite with 1997.29.37.1-.3),Robert Allen Cook,c. late 19th-early 20th century,American,6566
Cook,"Cook, Robert A.",drawings and watercolors,Stable; [floor plan] (en suite with 1997.29.37.1-.3),Robert Allen Cook,c. late 19th-early 20th century,American,6567
Cook,"Cook, Robert A.",drawings and watercolors,Town Hall; [exterior elevation],Robert Allen Cook,1901,American,6568
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [exterior elevation, exterior perspective]",Robert Allen Cook,c. 1903,American,6569
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [exterior elevations]",Robert Allen Cook,c. 1903,American,6570
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [exterior elevation]",Robert Allen Cook,c. 1903,American,6571
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [floor plan]",Robert Allen Cook,c. 1903,American,6572
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [floor plan]",Robert Allen Cook,c. 1903,American,6573
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [floor plan]",Robert Allen Cook,c. 1903,American,6574
Cook,"Cook, Robert A.",drawings and watercolors,"Hospital, Milford, MA; [floor plan]",Robert Allen Cook,c. 1903,American,6575
Cook,"Cook, Robert A.",drawings and watercolors,House; [floor plan],Robert Allen Cook,1899,American,6576
Cook,"Cook, Robert A.",drawings and watercolors,"Library, Holliston, MA; [section]",Robert Allen Cook,1903,American,6577
Cook,"Cook, Robert A.",drawings and watercolors,"Library, Holliston, MA; [floor plan]",Robert Allen Cook,1903,American,6578
Cook,"Cook, Robert A.",drawings and watercolors,"Library, Holliston, MA; [floor plan]",Robert Allen Cook,1903,American,6579
Cook,"Cook, Robert A.",drawings and watercolors,"Library, Holliston, MA; [floor plan]",Robert Allen Cook,1903,American,6580
Cook,"Cook, Robert A.",drawings and watercolors,"Library, Holliston, MA; [exterior elevation]",Robert Allen Cook,1903,American,6581
Cook,"Cook, Robert A.",drawings and watercolors,School; [exterior perspective],Robert Allen Cook,c. late 19th-early 20th century,American,6582
Cook,"Cook, Robert A.",drawings and watercolors,"Monument, Milford, MA; [elevation, plan]",Robert Allen Cook,c. late 19th-early 20th century,American,6583
